no-font-selected : Choose a font or stay with Nunito
alice-latin-regular : Alice Regular (Serif, Latin)
alike-angular-latin-regular : Alike Angular Regular (Serif, Latin)
alike-latin-regular : Alike Regular (Serif, Latin)
allan-latin-700 : Allan Bold (Display, Latin)
allan-latin-regular : Allan Regular (Display, Latin)
allerta-latin-regular : Allerta Regular (Sans-Serif, Latin)
allerta-stencil-latin-regular : Allerta Stencil Regular (Sans-Serif, Latin)
allura-latin-regular : Allura Regular (Handwriting, Latin)
almendra-display-latin-regular : Almendra Display Regular (Display, Latin)
almendra-latin-700 : Almendra Bold (Serif, Latin)
almendra-latin-700italic : Almendra Bold Italic (Serif, Latin)
almendra-latin-italic : Almendra Italic (Serif, Latin)
almendra-latin-regular : Almendra Regular (Serif, Latin)
almendra-sc-latin-regular : Almendra SC Regular (Serif, Latin)
amarante-latin-regular : Amarante Regular (Display, Latin)
amaranth-latin-700 : Amaranth Bold (Sans-Serif, Latin)
amaranth-latin-700italic : Amaranth Bold Italic (Sans-Serif, Latin)
amaranth-latin-italic : Amaranth Italic (Sans-Serif, Latin)
amaranth-latin-regular : Amaranth Regular (Sans-Serif, Latin)
amatic-sc-latin-700 : Amatic SC Bold (Handwriting, Latin)
amatic-sc-latin-regular : Amatic SC Regular (Handwriting, Latin)
amethysta-latin-regular : Amethysta Regular (Serif, Latin)
amiko-latin-600 : Amiko Semi Bold (Sans-Serif, Latin)
amiko-latin-700 : Amiko Bold (Sans-Serif, Latin)
amiko-latin-regular : Amiko Regular (Sans-Serif, Latin)
amiri-arabic_latin-700 : Amiri Bold (Serif, Arabic Latin)
amiri-arabic_latin-700italic : Amiri Bold Italic (Serif, Arabic Latin)
amiri-arabic_latin-italic : Amiri Italic (Serif, Arabic Latin)
amiri-arabic_latin-regular : Amiri Regular (Serif, Arabic Latin)
amiri-arabic-700 : Amiri Bold (Serif, Arabic)
amiri-arabic-700italic : Amiri Bold Italic (Serif, Arabic)
amiri-arabic-italic : Amiri Italic (Serif, Arabic)
amiri-arabic-regular : Amiri Regular (Serif, Arabic)
amiri-latin-700 : Amiri Bold (Serif, Latin)
amiri-latin-700italic : Amiri Bold Italic (Serif, Latin)
amiri-latin-ext_arabic_latin-700 : Amiri Bold (Serif, Latin Ext Arabic)
